,primary_title,release_date,release_year,runtime_minutes,genres,averagerating,numvotes,production_budget,domestic_gross,worldwide_gross,domestic_profit,worldwide_profit
1,The Overnight,"Jun 19, 2015",2015,79.0,"Comedy,Mystery",6.1,14828,200000,1109808,1165996,909808,965996
2,The Secret Life of Walter Mitty,"Dec 25, 2013",2013,114.0,"Adventure,Comedy,Drama",7.3,275300,91000000,58236838,187861183,-32763162,96861183
3,A Walk Among the Tombstones,"Sep 19, 2014",2014,114.0,"Action,Crime,Drama",6.5,105116,28000000,26017685,62108587,-1982315,34108587
4,Jurassic World,"Jun 12, 2015",2015,124.0,"Action,Adventure,Sci-Fi",7.0,539338,215000000,652270625,1648854864,437270625,1433854864
5,The Three Stooges,"Apr 13, 2012",2012,92.0,"Comedy,Family",5.1,28570,30000000,44338224,54052249,14338224,24052249
6,Tangled,"Nov 24, 2010",2010,100.0,"Adventure,Animation,Comedy",7.8,366366,260000000,200821936,586477240,-59178064,326477240
7,John Carter,"Mar 9, 2012",2012,132.0,"Action,Adventure,Sci-Fi",6.6,241792,275000000,73058679,282778100,-201941321,7778100
9,Dinner for Schmucks,"Jul 30, 2010",2010,114.0,Comedy,5.9,91546,69000000,73026337,86796502,4026337,17796502
10,The A-Team,"Jun 11, 2010",2010,117.0,"Action,Adventure,Thriller",6.8,235256,110000000,77222099,177241171,-32777901,67241171
11,The Possession,"Aug 31, 2012",2012,92.0,"Horror,Mystery,Thriller",5.9,53649,14000000,49130588,82925064,35130588,68925064
12,Real Steel,"Oct 7, 2011",2011,127.0,"Action,Drama,Family",7.1,283534,110000000,85463309,263880341,-24536691,153880341
13,The Giver,"Aug 15, 2014",2014,97.0,"Drama,Romance,Sci-Fi",6.5,104999,25000000,45090374,66540205,20090374,41540205
14,Toy Story 3,"Jun 18, 2010",2010,103.0,"Adventure,Animation,Comedy",8.3,682218,200000000,415004880,1068879522,215004880,868879522
16,The Devil Inside,"Jan 6, 2012",2012,83.0,Horror,4.2,33522,1000000,53262945,101759490,52262945,100759490
17,Alita: Battle Angel,"Feb 14, 2019",2019,122.0,"Action,Adventure,Sci-Fi",7.5,88207,170000000,85710210,402976036,-84289790,232976036
18,Lincoln,"Nov 9, 2012",2012,150.0,"Biography,Drama,History",7.4,228701,65000000,182207973,273346281,117207973,208346281
19,Shazam!,"Apr 5, 2019",2019,132.0,"Action,Adventure,Comedy",7.4,109051,85000000,139606856,362899733,54606856,277899733
20,Puss in Boots,"Oct 28, 2011",2011,90.0,"Action,Adventure,Animation",6.6,133355,130000000,149260504,554987477,19260504,424987477
21,Wonder Woman,"Jun 2, 2017",2017,141.0,"Action,Adventure,Fantasy",7.5,487527,150000000,412563408,821133378,262563408,671133378
24,42,"Apr 12, 2013",2013,128.0,"Biography,Drama,Sport",7.5,77703,31000000,95020213,97470701,64020213,66470701
25,Life of Pi,"Nov 21, 2012",2012,127.0,"Adventure,Drama,Fantasy",7.9,535836,120000000,124987022,620912003,4987022,500912003
26,The Crazies,"Feb 26, 2010",2010,101.0,"Horror,Thriller",6.5,104465,19000000,39123589,56445534,20123589,37445534
27,The Equalizer,"Sep 26, 2014",2014,132.0,"Action,Crime,Thriller",7.2,302302,55000000,101530738,192903624,46530738,137903624
